"Symbol","Common Name","Counties"
"ACPI","pineland acacia","12009|12011|12017|12021|12071|12085|12086|12087|12101|12103"
"ACRE4","catch and keep",""
"ACRI","blackbrush acacia","48013|48025|48043|48057|48061|48123|48127|48137|48163|48215|48249|48255|48261|48271|48283|48297|48323|48311|48325|48355|48409|48427|48463|48465|48479|48489|48505|48507"
"ACRO","roundflower catclaw","35015|35017|35035|48019|48029|48033|48043|48049|48091|48101|48103|48105|48115|48127|48137|48163|48171|48209|48227|48243|48259|48265|48267|48271|48299|48319|48323|48307|48325|48327|48371|48377|48385|48411|48413|48427|48435|48441|48443|48451|48453|48463|48465|48507"
"ACSC","Schott's wattle","48043|48377"
"ACSCB","Bravo acacia","48013|48025|48029|48031|48061|48123|48127|48131|48163|48171|48187|48215|48247|48249|48255|48271|48273|48283|48323|48311|48325|48355|48391|48409|48427|48463|48479|48481|48505|48507"
"ACTO","poponax","12021"
"ACVO","macata bourse bastard",""
"ACAN11","prairie acacia","04009|04011|04013|04025|05007|05015|05019|05057|05065|05067|05087|05089|05115|05135|05143|12001|12017|12029|12065|12075|20019|20035|20125|20129|22015|22017|22021|22031|22059|22069|22085|22115|22127|29009|29097|29119|29145|29149|29153|29209|29213|35005|35013|35015|35017|35023|35029|35035|35037|35051|40009|40013|40019|40023|40027|40031|40039|40047|40049|40051|40065|40067|40073|40075|40081|40083|40085|40095|40097|40087|40099|40101|40109|40119|40123|40125|40129|40135|40149|48007|48021|48027|48029|48039|48041|48043|48049|48051|48053|48055|48059|48073|48083|48085|48091|48097|48099|48101|48105|48107|48109|48113|48121|48125|48141|48143|48145|48147|48161|48167|48171|48175|48181|48185|48193|48197|48209|48229|48231|48237|48243|48249|48255|48259|48265|48271|48273|48277|48289|48303|48321|48309|48327|48339|48349|48355|48367|48371|48377|48385|48387|48391|48395|48409|48411|48417|48423|48433|48435|48439|48441|48453|48463|48471|48473|48477|48493|48499"
"ACANC3","Chisos prairie acacia","48043|48109|48141|48229|48243|48377"
"ACANH2","prairie acacia","04009|05007|05015|05019|05057|05065|05067|05087|05089|05115|05135|05143|12001|12017|12029|12065|12075|20019|20035|20125|20129|22015|22017|22021|22031|22059|22069|22085|22115|22127|29009|29097|29119|29145|29149|29153|29209|29213|35005|35013|35015|35017|35023|35029|35035|35037|35051|40009|40013|40019|40023|40027|40031|40039|40047|40049|40051|40065|40067|40073|40075|40081|40083|40085|40095|40097|40087|40099|40101|40109|40119|40123|40125|40129|40135|40149|48007|48021|48027|48029|48039|48041|48049|48051|48053|48055|48059|48073|48083|48085|48091|48097|48099|48101|48105|48107|48113|48121|48125|48143|48145|48147|48161|48167|48171|48175|48181|48185|48193|48197|48209|48231|48237|48249|48255|48259|48265|48271|48273|48277|48289|48303|48321|48309|48327|48339|48349|48355|48367|48371|48385|48387|48391|48395|48409|48411|48417|48423|48433|48435|48439|48441|48453|48463|48471|48473|48477|48493|48499"
"ACLE10","whitehair acacia","48127|48427|48479"
"ACSH2","Shreve's prairie acacia","04003|04023"
"ACSU12","prairie acacia","04001|04003|04005|04007|04009|04017|04019|04023|35023"
"ACPI3","Argentinian biddy-biddy","06001|06013|06041|06045|06053|06069|06075|06079|06081|06083|06087|06097"
"ACPIC2","California biddy-biddy","06001|06013|06041|06045|06053|06069|06075|06079|06081|06083|06087|06097"
"ACAL2","foxtail copperleaf","12011|12086|12095|12101|12117|22057|22093"
"ACAMH","","70002|70004|70212|70214|70218|70222|70224|70226|70227|70228"
"ACAMP2","","70002|70004|70010|70100|70150|70212|70214|70218|70222|70224|70226|70227|70228|70350|70370"
"ACBE2","Guayama Copperleaf",""
"ACBI3","streambank copperleaf",""
"ACCA3","California copperleaf","04019|06059|06073"
"ACCH2","bastard copperleaf","12086|12087"
"ACDE4","Deam's threeseed mercury","17023|17029|17127|17135|17183|18019|18025|18029|18043|18047|18051|18061|18071|18105|18121|18123|18129|18147|18163|21013|21015|21029|21061|21079|21081|21087|21093|21099|21101|21111|21151|21145|21227|42003|47039"
